,confirmed
1/22/20,0
1/23/20,2
1/24/20,0
1/25/20,3
1/26/20,3
1/27/20,0
1/28/20,0
1/29/20,2
1/30/20,0
1/31/20,2
2/1/20,1
2/2/20,2
2/3/20,0
2/4/20,2
2/5/20,4
2/6/20,3
2/7/20,1
2/8/20,1
2/9/20,3
2/10/20,9
2/11/20,11
2/12/20,1
2/13/20,3
2/14/20,3
2/15/20,0
2/16/20,1
2/17/20,3
2/18/20,2
2/19/20,1
2/20/20,5
2/21/20,0
2/22/20,1
2/23/20,5
2/24/20,5
2/25/20,5
2/26/20,7
2/27/20,1
2/28/20,2
2/29/20,1
3/1/20,1
3/2/20,4
3/3/20,0
3/4/20,5
3/5/20,0
3/6/20,2
3/7/20,1
3/8/20,6
3/9/20,1
3/10/20,5
3/11/20,6
3/12/20,3
3/13/20,5
3/14/20,6
3/15/20,5
3/16/20,10
3/17/20,7
3/18/20,19
3/19/20,27
3/20/20,48
3/21/20,17
3/22/20,44
3/23/20,34
3/24/20,31
3/25/20,25
3/26/20,45
3/27/20,42
3/28/20,32
3/29/20,51
3/30/20,46
3/31/20,57
4/1/20,57
4/2/20,47
4/3/20,47
4/4/20,22
4/5/20,29
4/6/20,32
4/7/20,21
4/8/20,25
4/9/20,13
4/10/20,16
4/11/20,11
4/12/20,4
4/13/20,5
4/14/20,3
4/15/20,4
4/16/20,1
4/17/20,4
4/18/20,2
4/19/20,2
4/20/20,0
4/21/20,4
4/22/20,4
4/23/20,2
4/24/20,0
4/25/20,2
4/26/20,0
4/27/20,0
4/28/20,0
4/29/20,0
4/30/20,0
5/1/20,2
5/2/20,0
5/3/20,0
5/4/20,1
5/5/20,0
5/6/20,0
5/7/20,4
5/8/20,0
5/9/20,0
5/10/20,3
5/11/20,0
5/12/20,0
5/13/20,3
5/14/20,1
5/15/20,1
5/16/20,0
5/17/20,3
5/18/20,0
5/19/20,0
5/20/20,0
5/21/20,8
5/22/20,2
5/23/20,0
5/24/20,0
5/25/20,0
5/26/20,0
5/27/20,1
5/28/20,0
5/29/20,13
5/30/20,3
5/31/20,2
6/1/20,3
6/2/20,6
6/3/20,0
6/4/20,6
6/5/20,3
6/6/20,3
6/7/20,1
6/8/20,1
6/9/20,0
6/10/20,0
6/11/20,0
6/12/20,1
6/13/20,1
6/14/20,0
6/15/20,3
6/16/20,0
6/17/20,8
6/18/20,4
6/19/20,3
6/20/20,1
6/21/20,3
6/22/20,30
6/23/20,16
6/24/20,2
6/25/20,14
6/26/20,3
6/27/20,1
6/28/20,2
6/29/20,4
6/30/20,2
7/1/20,28
7/2/20,9
7/3/20,5
7/4/20,11
7/5/20,10
7/6/20,17
7/7/20,14
7/8/20,24
7/9/20,42
7/10/20,38
7/11/20,28
7/12/20,38
7/13/20,52
7/14/20,48
7/15/20,19
7/16/20,67
7/17/20,58
7/18/20,64
7/19/20,108
7/20/20,73
7/21/20,60
7/22/20,113
7/23/20,118
7/24/20,123
7/25/20,133
7/26/20,128
7/27/20,145
7/28/20,106
7/29/20,118
7/30/20,149
7/31/20,121
8/1/20,124
8/2/20,115
8/3/20,78
8/4/20,80
8/5/20,85
8/6/20,95
8/7/20,89
8/8/20,69
8/9/20,72
8/10/20,69
8/11/20,33
8/12/20,62
8/13/20,69
8/14/20,48
8/15/20,46
8/16/20,74
8/17/20,44
8/18/20,36
8/19/20,26
8/20/20,18
8/21/20,27
8/22/20,26
8/23/20,25
8/24/20,9
8/25/20,19
8/26/20,24
8/27/20,21
8/28/20,13
8/29/20,18
8/30/20,15
8/31/20,9
9/1/20,12
9/2/20,8
9/3/20,8
9/4/20,12
9/5/20,7
9/6/20,21
9/7/20,11
9/8/20,6
9/9/20,6
9/10/20,12
9/11/20,12
9/12/20,13
9/13/20,19
9/14/20,14
9/15/20,4
9/16/20,9
9/17/20,9
9/18/20,3
9/19/20,13
9/20/20,23
9/21/20,6
9/22/20,8
9/23/20,3
9/24/20,7
9/25/20,2
9/26/20,1
9/27/20,6
9/28/20,10
9/29/20,4
9/30/20,8
10/1/20,10
10/2/20,7
10/3/20,4
10/4/20,5
10/5/20,11
10/6/20,8
10/7/20,11
10/8/20,18
10/9/20,8
10/10/20,6
10/11/20,7
10/12/20,11
10/13/20,8
10/14/20,0
10/15/20,12
10/16/20,7
10/17/20,17
10/18/20,4
10/19/20,15
10/20/20,5
10/21/20,8
10/22/20,11
10/23/20,4
10/24/20,5
10/25/20,6
10/26/20,8
10/27/20,5
10/28/20,2
10/29/20,3
10/30/20,7
10/31/20,3
11/1/20,7
11/2/20,6
11/3/20,9
11/4/20,3
11/5/20,7
11/6/20,6
11/7/20,3
11/8/20,10
11/9/20,6
11/10/20,9
11/11/20,18
11/12/20,23
11/13/20,6
11/14/20,8
11/15/20,14
11/16/20,8
11/17/20,4
11/18/20,9
11/19/20,12
11/20/20,26
11/21/20,43
11/22/20,68
11/23/20,73
11/24/20,80
11/25/20,85
11/26/20,81
11/27/20,92
11/28/20,84
11/29/20,115
11/30/20,76
12/1/20,82
12/2/20,103
12/3/20,90
12/4/20,112
12/5/20,101
12/6/20,95
12/7/20,78
12/8/20,100
12/9/20,104
12/10/20,112
12/11/20,86
12/12/20,69
12/13/20,95
12/14/20,82
12/15/20,98
12/16/20,82
12/17/20,96
12/18/20,70
12/19/20,109
12/20/20,74
12/21/20,85
12/22/20,63
12/23/20,53
12/24/20,71
12/25/20,57
12/26/20,59
12/27/20,70
12/28/20,61
12/29/20,53
12/30/20,54
12/31/20,68
1/1/21,42
1/2/21,35
1/3/21,41
1/4/21,53
1/5/21,32
1/6/21,25
1/7/21,33
1/8/21,45
1/9/21,59
1/10/21,31
1/11/21,41
1/12/21,60
1/13/21,42
1/14/21,29
1/15/21,38
1/16/21,50
1/17/21,55
1/18/21,107
1/19/21,56
1/20/21,77
1/21/21,70
1/22/21,61
1/23/21,81
1/24/21,76
1/25/21,73
1/26/21,64
1/27/21,60
1/28/21,39
1/29/21,50
1/30/21,28
1/31/21,53
2/1/21,34
2/2/21,25
2/3/21,19
2/4/21,22
2/5/21,37
2/6/21,19
2/7/21,27
2/8/21,32
2/9/21,26
2/10/21,17
2/11/21,21
2/12/21,24
2/13/21,12
2/14/21,12
2/15/21,9
2/16/21,8
2/17/21,16
2/18/21,8
2/19/21,13
2/20/21,15
2/21/21,20
2/22/21,16
2/23/21,12
2/24/21,17
2/25/21,13
2/26/21,25
2/27/21,32
2/28/21,22
3/1/21,14
3/2/21,13
3/3/21,14
3/4/21,9
3/5/21,11
3/6/21,8
3/7/21,16
3/8/21,9
3/9/21,21
3/10/21,8
3/11/21,22
3/12/21,60
3/13/21,47
3/14/21,24
3/15/21,30
3/16/21,18
3/17/21,11
3/18/21,10
3/19/21,13
3/20/21,8
3/21/21,8
3/22/21,18
3/23/21,12
3/24/21,10
3/25/21,9
3/26/21,11
3/27/21,6
3/28/21,1
3/29/21,8
3/30/21,7
3/31/21,6
4/1/21,13
4/2/21,19
4/3/21,2
4/4/21,7
4/5/21,16
4/6/21,7
4/7/21,8
4/8/21,10
4/9/21,14
4/10/21,5
4/11/21,13
4/12/21,13
4/13/21,13
4/14/21,5
4/15/21,6
4/16/21,17
4/17/21,18
4/18/21,30
4/19/21,12
4/20/21,8
4/21/21,1
4/22/21,14
4/23/21,9
4/24/21,3
4/25/21,6
4/26/21,4
4/27/21,8
4/28/21,7
4/29/21,15
4/30/21,4
5/1/21,8
5/2/21,2
5/3/21,2
5/4/21,4
5/5/21,6
5/6/21,2
5/7/21,3
5/8/21,5
5/9/21,1
5/10/21,4
5/11/21,1
5/12/21,2
5/13/21,3
5/14/21,1
5/15/21,3
5/16/21,3
5/17/21,1
5/18/21,1
5/19/21,1
5/20/21,1
5/21/21,1
5/22/21,1
5/23/21,2
5/24/21,1
5/25/21,2
5/26/21,1
5/27/21,0
5/28/21,0
5/29/21,1
5/30/21,0
5/31/21,4
6/1/21,7
6/2/21,0
6/3/21,1
6/4/21,1
6/5/21,1
6/6/21,7
6/7/21,7
6/8/21,3
6/9/21,4
6/10/21,2
6/11/21,0
6/12/21,3
6/13/21,0
6/14/21,1
6/15/21,2
6/16/21,1
6/17/21,0
6/18/21,3
6/19/21,1
6/20/21,1
6/21/21,3
6/22/21,7
6/23/21,2
6/24/21,7
6/25/21,4
6/26/21,2
6/27/21,6
6/28/21,3
6/29/21,1
6/30/21,2
7/1/21,4
7/2/21,11
7/3/21,1
7/4/21,3
7/5/21,1
7/6/21,1
7/7/21,1
7/8/21,3
7/9/21,1
7/10/21,1
7/11/21,1
7/12/21,0
7/13/21,1
7/14/21,3
7/15/21,0
7/16/21,1
7/17/21,0
7/18/21,2
7/19/21,0
7/20/21,7
7/21/21,5
7/22/21,1
7/23/21,2
7/24/21,2
7/25/21,3
7/26/21,0
7/27/21,1
7/28/21,1
7/29/21,2
7/30/21,2
7/31/21,0
8/1/21,3
8/2/21,3
8/3/21,4
8/4/21,2
8/5/21,6
8/6/21,2
8/7/21,7
8/8/21,2
8/9/21,2
8/10/21,4
8/11/21,1
8/12/21,5
8/13/21,5
8/14/21,2
8/15/21,1
8/16/21,3
8/17/21,3
8/18/21,3
8/19/21,5
8/20/21,2
8/21/21,3
8/22/21,5
8/23/21,5
8/24/21,7
8/25/21,5
8/26/21,3
8/27/21,17
8/28/21,6
8/29/21,7
8/30/21,3
8/31/21,2
9/1/21,1
9/2/21,0
9/3/21,-1
9/4/21,1
9/5/21,8
9/6/21,2
9/7/21,6
9/8/21,2
9/9/21,2
9/10/21,5
9/11/21,4
9/12/21,3
9/13/21,1
9/14/21,2
9/15/21,1
9/16/21,0
9/17/21,3
9/18/21,5
9/19/21,3
9/20/21,5
9/21/21,1
9/22/21,1
9/23/21,2
9/24/21,7
9/25/21,9
9/26/21,8
9/27/21,3
9/28/21,13
9/29/21,5
9/30/21,3
10/1/21,4
10/2/21,5
10/3/21,0
10/4/21,4
10/5/21,7
10/6/21,6
10/7/21,8
10/8/21,2
10/9/21,-23
10/10/21,31
10/11/21,7
10/12/21,4
10/13/21,3
10/14/21,1
10/15/21,9
10/16/21,6
10/17/21,3
10/18/21,5
10/19/21,2
10/20/21,4
10/21/21,6
10/22/21,2
10/23/21,6
10/24/21,4
10/25/21,4
10/26/21,3
10/27/21,5
10/28/21,2
10/29/21,5
10/30/21,3
10/31/21,1
11/1/21,1
11/2/21,2
11/3/21,3
