,mainlandArrival,mainlandDeparture,otherArrival,otherDeparture,residentsArrival,residentsDeparture,totalArrival,totalDeparture
1/24/2020,102663,36705,22872,162240,294785,31340,13018,339143
1/25/2020,86417,29891,19177,135485,186168,28788,14633,229589
1/26/2020,163668,36690,16707,217065,121396,38300,14778,174474
1/27/2020,177470,28780,12816,219066,90477,34703,18930,144110
1/28/2020,188788,24156,10248,223192,81904,29546,16517,127967
1/29/2020,197572,27780,10998,236350,76646,32785,15143,124574
1/30/2020,132506,19555,8862,160923,68079,24828,15070,107977
1/31/2020,116544,16058,8257,140859,67506,18994,10952,97452
2/1/2020,115122,13382,9760,138264,65847,15399,12956,94202
2/2/2020,122399,11715,6399,140513,57341,14385,9943,81669
2/3/2020,111033,13461,6510,131004,62735,15246,8100,86081
2/4/2020,54816,9511,5485,69812,34405,11276,6335,52016
2/5/2020,44566,8760,5458,58784,36217,9877,6126,52220
2/6/2020,65122,11009,5886,82017,46220,10651,6253,63124
2/7/2020,76899,12746,6337,95982,40739,11119,6130,57988
2/8/2020,18823,995,3581,23399,22204,2641,4244,29089
2/9/2020,24939,956,3120,29015,20769,2441,4297,27507
2/10/2020,18408,832,2537,21777,18893,1688,3848,24429
2/11/2020,15953,738,2569,19260,14710,1323,3148,19181
2/12/2020,15792,729,2176,18697,15760,1442,2822,20024
2/13/2020,13312,751,2458,16521,17404,1433,2704,21541
2/14/2020,13507,683,2574,16764,18160,1603,2576,22339
2/15/2020,16089,791,2629,19509,16580,1130,2700,20410
2/16/2020,20325,749,2319,23393,14896,1189,3373,19458
2/17/2020,15990,643,2368,19001,13934,899,2816,17649
2/18/2020,14383,579,2451,17413,12015,859,2607,15481
2/19/2020,12801,567,2290,15658,12969,786,2304,16059
2/20/2020,13677,648,2324,16649,15924,940,2606,19470
2/21/2020,14557,682,2696,17935,17499,985,2413,20897
2/22/2020,15440,651,2680,18771,15160,817,2653,18630
2/23/2020,20241,673,2651,23565,13905,961,3189,18055
2/24/2020,16972,588,2410,19970,14216,787,2782,17785
2/25/2020,15207,558,2067,17832,12249,772,2308,15329
2/26/2020,14317,587,2157,17061,12748,838,2280,15866
2/27/2020,13846,702,2404,16952,14287,914,2354,17555
2/28/2020,15248,558,2642,18448,17148,911,2585,20644
2/29/2020,17881,1084,2797,21762,16533,1264,2804,20601
3/1/2020,20991,1346,3237,25574,15755,1795,3686,21236
3/2/2020,16629,973,2682,20284,14627,1223,2805,18655
3/3/2020,13837,918,2682,17437,13452,1100,2796,17348
3/4/2020,13264,973,2607,16844,13393,1111,2589,17093
3/5/2020,13245,916,2534,16695,14729,1053,2703,18485
3/6/2020,15154,978,2779,18911,16326,1065,2462,19853
3/7/2020,15774,1090,2894,19758,15136,1204,2923,19263
3/8/2020,20255,1005,2648,23908,13853,1282,3181,18316
3/9/2020,15574,955,2438,18967,13142,1046,2491,16679
3/10/2020,13908,906,2293,17107,11251,1028,2246,14525
3/11/2020,14276,1107,2274,17657,10333,1193,2049,13575
3/12/2020,13183,1200,2182,16565,11405,1216,2202,14823
3/13/2020,15048,1348,2349,18745,12649,1429,2352,16430
3/14/2020,14887,1730,2665,19282,12434,1723,2528,16685
3/15/2020,19944,1942,2642,24528,11549,2074,2728,16351
3/16/2020,16634,2016,2838,21488,11081,2146,2897,16124
3/17/2020,14677,1980,2029,18686,8946,2046,2091,13083
3/18/2020,16276,2408,1899,20583,7461,2405,1767,11633
3/19/2020,11924,243,951,13118,7383,664,1186,9233
3/20/2020,13487,307,1064,14858,8020,503,1312,9835
3/21/2020,12256,319,919,13494,7472,566,969,9007
3/22/2020,11656,336,805,12797,6664,665,880,8209
3/23/2020,10519,247,886,11652,8465,539,954,9958
3/24/2020,12537,437,1809,14783,8420,541,1743,10704
3/25/2020,4969,148,180,5297,2366,372,430,3168
3/26/2020,4171,136,151,4458,3254,584,267,4105
3/27/2020,3703,134,196,4033,2025,249,521,2795
3/28/2020,4356,110,196,4662,974,156,311,1441
3/29/2020,3230,123,231,3584,558,97,260,915
3/30/2020,2688,90,155,2933,680,96,241,1017
3/31/2020,2245,111,139,2495,991,93,267,1351
4/1/2020,2010,96,40,2146,953,163,102,1218
4/2/2020,1360,76,9,1445,710,108,72,890
4/3/2020,1527,97,28,1652,1022,141,100,1263
4/4/2020,1206,78,18,1302,757,112,59,928
4/5/2020,1511,112,26,1649,693,95,90,878
4/6/2020,1351,98,16,1465,658,87,49,794
4/7/2020,892,84,16,992,602,126,50,778
4/8/2020,1446,105,25,1576,699,93,63,855
4/9/2020,1056,93,18,1167,554,132,44,730
4/10/2020,1460,146,40,1646,916,152,78,1146
4/11/2020,832,111,17,960,524,64,37,625
4/12/2020,1048,107,26,1181,620,87,55,762
4/13/2020,957,102,23,1082,361,79,33,473
4/14/2020,1054,81,11,1146,446,79,54,579
4/15/2020,1127,99,18,1244,588,84,62,734
4/16/2020,950,84,22,1056,381,71,25,477
4/17/2020,1363,87,26,1476,714,71,86,871
4/18/2020,862,103,15,980,541,88,77,706
4/19/2020,1016,99,16,1131,448,55,44,547
4/20/2020,1163,86,23,1272,508,100,32,640
4/21/2020,786,73,23,882,323,45,31,399
4/22/2020,992,65,33,1090,496,54,58,608
4/23/2020,616,59,21,696,397,78,62,537
4/24/2020,1250,40,26,1316,601,43,65,709
4/25/2020,833,75,24,932,468,50,41,559
4/26/2020,849,82,24,955,525,78,37,640
4/27/2020,898,74,12,984,738,148,32,918
4/28/2020,827,51,66,944,355,27,56,438
4/29/2020,1293,76,17,1386,601,30,50,681
4/30/2020,1611,125,52,1788,633,89,38,760
5/1/2020,1379,119,30,1528,815,63,100,978
5/2/2020,1020,100,39,1159,596,31,75,702
5/3/2020,1470,142,35,1647,433,48,50,531
5/4/2020,1449,94,34,1577,558,38,167,763
5/5/2020,1008,84,14,1106,424,38,38,500
5/6/2020,1303,87,20,1410,613,54,40,707
5/7/2020,1114,108,9,1231,462,75,8,545
5/8/2020,2447,157,48,2652,765,77,57,899
5/9/2020,1760,169,72,2001,540,57,32,629
5/10/2020,2832,214,50,3096,520,51,50,621
5/11/2020,2850,185,43,3078,683,63,32,778
5/12/2020,2538,195,45,2778,452,43,43,538
5/13/2020,1867,130,33,2030,668,76,82,826
5/14/2020,1493,130,47,1670,526,43,75,644
5/15/2020,1926,145,44,2115,595,63,70,728
5/16/2020,1921,174,165,2260,694,53,83,830
5/17/2020,2152,193,68,2413,446,51,63,560
5/18/2020,2019,137,66,2222,635,48,66,749
5/19/2020,1342,120,32,1494,618,40,24,682
5/20/2020,1876,149,39,2064,514,52,28,594
5/21/2020,1701,139,44,1884,426,88,35,549
5/22/2020,2279,165,52,2496,667,75,57,799
