,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
type_age,people_vaccinated_per_hundred_0-19,people_vaccinated_per_hundred_20-29,people_vaccinated_per_hundred_30-39,people_vaccinated_per_hundred_40-49,people_vaccinated_per_hundred_50-59,people_vaccinated_per_hundred_60-69,people_vaccinated_per_hundred_70-79,people_vaccinated_per_hundred_80+,people_fully_vaccinated_per_hundred_0-19,people_fully_vaccinated_per_hundred_20-29,people_fully_vaccinated_per_hundred_30-39,people_fully_vaccinated_per_hundred_40-49,people_fully_vaccinated_per_hundred_50-59,people_fully_vaccinated_per_hundred_60-69,people_fully_vaccinated_per_hundred_70-79,people_fully_vaccinated_per_hundred_80+,people_with_booster_per_hundred_0-19,people_with_booster_per_hundred_20-29,people_with_booster_per_hundred_30-39,people_with_booster_per_hundred_40-49,people_with_booster_per_hundred_50-59,people_with_booster_per_hundred_60-69,people_with_booster_per_hundred_70-79,people_with_booster_per_hundred_80+
2/23/21,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/26/21,0.0,0.01,0.03,0.08,0.08,0.28,0.17,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/27/21,0.0,0.04,0.07,0.19,0.2,0.49,0.36,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/28/21,0.01,0.06,0.11,0.31,0.3,0.71,0.54,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/1/21,0.01,0.07,0.14,0.39,0.38,0.99,0.7,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/2/21,0.01,0.08,0.18,0.5,0.51,1.56,1.18,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/3/21,0.01,0.1,0.22,0.61,0.64,2.03,1.6,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/4/21,0.01,0.12,0.27,0.72,0.76,2.43,1.96,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/5/21,0.01,0.14,0.31,0.83,0.89,2.82,2.32,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/6/21,0.02,0.17,0.37,0.99,1.04,3.22,2.7,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/7/21,0.02,0.21,0.43,1.13,1.17,3.49,2.96,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/8/21,0.02,0.24,0.5,1.27,1.31,3.89,3.27,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/9/21,0.02,0.27,0.57,1.41,1.46,4.22,3.52,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/10/21,0.03,0.35,0.73,1.69,1.74,4.75,3.85,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/11/21,0.04,0.41,0.86,1.93,1.97,5.25,4.18,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/12/21,0.04,0.53,1.01,2.18,2.22,5.76,4.5,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/13/21,0.06,0.66,1.17,2.45,2.45,6.13,4.79,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/14/21,0.06,0.76,1.33,2.72,2.68,6.46,5.01,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/15/21,0.07,0.87,1.5,2.97,2.92,6.91,5.3,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/16/21,0.08,1.01,1.82,3.44,3.38,7.42,5.62,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/17/21,0.09,1.16,2.19,3.96,3.89,7.87,5.93,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/18/21,0.1,1.31,2.52,4.44,4.35,8.32,6.21,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/19/21,0.13,1.47,3.03,5.11,4.93,8.69,6.46,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/20/21,0.15,1.65,3.54,5.76,5.46,9.01,6.71,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/21/21,0.17,1.81,4.04,6.37,5.93,9.28,6.9,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/22/21,0.19,1.95,4.51,6.97,6.47,9.63,7.13,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/23/21,0.2,2.08,4.95,7.54,6.96,9.96,7.32,2.68,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/24/21,0.21,2.14,5.1,7.78,7.18,10.12,7.42,2.71,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/25/21,0.21,2.18,5.21,7.98,7.37,10.25,7.5,2.74,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/26/21,0.21,2.24,5.33,8.18,7.56,10.39,7.6,2.76,0.0,0.01,0.02,0.06,0.07,0.25,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/27/21,0.21,2.29,5.46,8.37,7.74,10.49,7.66,2.79,0.0,0.03,0.06,0.16,0.17,0.45,0.31,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/28/21,0.21,2.35,5.57,8.55,7.89,10.56,7.7,2.8,0.01,0.05,0.1,0.27,0.27,0.66,0.48,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/29/21,0.22,2.39,5.68,8.72,8.07,10.63,7.75,2.81,0.01,0.06,0.12,0.35,0.35,0.92,0.62,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/30/21,0.22,2.42,5.77,8.85,8.2,10.69,7.79,2.82,0.01,0.07,0.15,0.44,0.45,1.35,0.96,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/31/21,0.22,2.45,5.85,8.99,8.34,10.75,7.82,2.83,0.01,0.09,0.19,0.53,0.56,1.73,1.31,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/1/21,0.22,2.49,5.93,9.12,8.48,10.8,7.86,2.84,0.01,0.1,0.23,0.63,0.68,2.14,1.66,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/2/21,0.22,2.53,6.03,9.25,8.62,10.85,7.88,2.85,0.01,0.11,0.26,0.7,0.75,2.36,1.86,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/3/21,0.22,2.56,6.1,9.35,8.71,10.88,7.89,2.85,0.01,0.14,0.3,0.82,0.86,2.67,2.16,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
